21274:   tor -f /etc/tor/torrc
000056346cd0d000    384K r---- tor
000056346cd6d000   1892K r-x-- tor
000056346cf46000    888K r---- tor
000056346d024000     56K r---- tor
000056346d032000     48K rw--- tor
000056346d03e000     24K rw---   [ anon ]
00007387b23a9000      8K -----   [ anon ]
00007387b23ab000    224K rw---   [ anon ]
00007387b23e3000      8K -----   [ anon ]
00007387b23e5000   9624K r---- cached-microdescs
00007387b2fa6000   1416K -----   [ anon ]
00007387b3108000   1024K rw---   [ anon ]
00007387b3208000   4740K -----   [ anon ]
00007387b36a9000   2048K rw---   [ anon ]
00007387b38a9000 79446436K -----   [ anon ]
0000739aa4912000      4K rw---   [ anon ]
0000739aa4913000      4K -----   [ anon ]
0000739aa4914000      4K rw---   [ anon ]
0000739aa4915000      4K -----   [ anon ]
0000739aa4916000      4K rw---   [ anon ]
0000739aa4917000      4K -----   [ anon ]
0000739aa4918000      4K rw---   [ anon ]
0000739aa4919000      4K -----   [ anon ]
0000739aa491a000      4K rw---   [ anon ]
0000739aa491b000      4K -----   [ anon ]
0000739aa491c000      4K rw---   [ anon ]
0000739aa491d000      4K -----   [ anon ]
0000739aa491e000      4K rw---   [ anon ]
0000739aa491f000      4K -----   [ anon ]
0000739aa4920000      4K rw---   [ anon ]
0000739aa4921000      4K -----   [ anon ]
0000739aa4922000      4K rw---   [ anon ]
0000739aa4923000      4K -----   [ anon ]
0000739aa4924000      4K rw---   [ anon ]
0000739aa4925000      4K -----   [ anon ]
0000739aa4926000      4K rw---   [ anon ]
0000739aa4927000      4K -----   [ anon ]
0000739aa4928000      4K rw---   [ anon ]
0000739aa4929000      4K -----   [ anon ]
0000739aa492a000      4K rw---   [ anon ]
0000739aa492b000      4K -----   [ anon ]
0000739aa492c000      4K rw---   [ anon ]
0000739aa492d000      4K -----   [ anon ]
0000739aa492e000      4K rw---   [ anon ]
0000739aa492f000      4K -----   [ anon ]
0000739aa4930000      4K rw---   [ anon ]
0000739aa4931000      4K -----   [ anon ]
0000739aa4932000      4K rw---   [ anon ]
0000739aa4933000      4K -----   [ anon ]
0000739aa4934000      4K rw---   [ anon ]
0000739aa4935000      4K -----   [ anon ]
0000739aa4936000      4K rw---   [ anon ]
0000739aa4937000      4K -----   [ anon ]
0000739aa4938000      4K rw---   [ anon ]
0000739aa4939000      4K -----   [ anon ]
0000739aa493a000      4K rw---   [ anon ]
0000739aa493b000      4K -----   [ anon ]
0000739aa493c000      4K rw---   [ anon ]
0000739aa493d000      4K -----   [ anon ]
0000739aa493e000      4K rw---   [ anon ]
0000739aa493f000      4K -----   [ anon ]
0000739aa4940000      4K rw---   [ anon ]
0000739aa4941000      4K -----   [ anon ]
0000739aa4942000      4K rw---   [ anon ]
0000739aa4943000      4K -----   [ anon ]
0000739aa4944000      4K rw---   [ anon ]
0000739aa4945000      4K -----   [ anon ]
0000739aa4946000      4K rw---   [ anon ]
0000739aa4947000      4K -----   [ anon ]
0000739aa4948000      4K rw---   [ anon ]
0000739aa4949000      4K -----   [ anon ]
0000739aa494a000      4K rw---   [ anon ]
0000739aa494b000      4K -----   [ anon ]
0000739aa494c000      4K rw---   [ anon ]
0000739aa494d000      4K -----   [ anon ]
0000739aa494e000      4K rw---   [ anon ]
0000739aa494f000      4K -----   [ anon ]
0000739aa4950000      4K rw---   [ anon ]
0000739aa4951000      4K -----   [ anon ]
0000739aa4952000      4K rw---   [ anon ]
0000739aa4953000      4K -----   [ anon ]
0000739aa4954000      4K rw---   [ anon ]
0000739aa4955000      4K -----   [ anon ]
0000739aa4956000      4K rw---   [ anon ]
0000739aa4957000      4K -----   [ anon ]
0000739aa4958000      4K rw---   [ anon ]
0000739aa4959000      4K -----   [ anon ]
0000739aa495a000      4K rw---   [ anon ]
0000739aa495b000      4K -----   [ anon ]
0000739aa495c000      4K rw---   [ anon ]
0000739aa495d000      4K -----   [ anon ]
0000739aa495e000      4K rw---   [ anon ]
0000739aa495f000      4K -----   [ anon ]
0000739aa4960000      4K rw---   [ anon ]
0000739aa4961000      4K -----   [ anon ]
0000739aa4962000      4K rw---   [ anon ]
0000739aa4963000      4K -----   [ anon ]
0000739aa4964000      4K rw---   [ anon ]
0000739aa4965000      4K -----   [ anon ]
0000739aa4966000      4K rw---   [ anon ]
0000739aa4967000      4K -----   [ anon ]
0000739aa4968000      4K rw---   [ anon ]
0000739aa4969000      4K -----   [ anon ]
0000739aa496a000      4K rw---   [ anon ]
0000739aa496b000      4K -----   [ anon ]
0000739aa496c000      4K rw---   [ anon ]
0000739aa496d000      4K -----   [ anon ]
0000739aa496e000      4K rw---   [ anon ]
0000739aa496f000      4K -----   [ anon ]
0000739aa4970000      4K rw---   [ anon ]
0000739aa4971000      4K -----   [ anon ]
0000739aa4972000      4K rw---   [ anon ]
0000739aa4973000      4K -----   [ anon ]
0000739aa4974000      4K rw---   [ anon ]
0000739aa4975000      4K -----   [ anon ]
0000739aa4976000      4K rw---   [ anon ]
0000739aa4977000      4K -----   [ anon ]
0000739aa4978000      4K rw---   [ anon ]
0000739aa4979000      4K -----   [ anon ]
0000739aa497a000      4K rw---   [ anon ]
0000739aa497b000      4K -----   [ anon ]
0000739aa497c000      4K rw---   [ anon ]
0000739aa497d000      4K -----   [ anon ]
0000739aa497e000      4K rw---   [ anon ]
0000739aa497f000      4K -----   [ anon ]
