21238:   tor -f /etc/tor/torrc
0000563f8e81e000    384K r---- tor
0000563f8e87e000   1892K r-x-- tor
0000563f8ea57000    888K r---- tor
0000563f8eb35000     56K r---- tor
0000563f8eb43000     48K rw--- tor
0000563f8eb4f000     24K rw---   [ anon ]
0000737736743000    104K -----   [ anon ]
000073773675d000    224K rw---   [ anon ]
0000737736795000    104K -----   [ anon ]
00007377367af000   9624K r---- cached-microdescs
0000737737370000   1960K -----   [ anon ]
000073773755a000   1024K rw---   [ anon ]
000073773765a000   4640K -----   [ anon ]
0000737737ae2000   2048K rw---   [ anon ]
0000737737ce2000 89966440K -----   [ anon ]
0000738caaebc000      4K rw---   [ anon ]
0000738caaebd000      4K -----   [ anon ]
0000738caaebe000      4K rw---   [ anon ]
0000738caaebf000      4K -----   [ anon ]
0000738caaec0000      4K rw---   [ anon ]
0000738caaec1000      4K -----   [ anon ]
0000738caaec2000      4K rw---   [ anon ]
0000738caaec3000      4K -----   [ anon ]
0000738caaec4000      4K rw---   [ anon ]
0000738caaec5000      4K -----   [ anon ]
0000738caaec6000      4K rw---   [ anon ]
0000738caaec7000      4K -----   [ anon ]
0000738caaec8000      4K rw---   [ anon ]
0000738caaec9000      4K -----   [ anon ]
0000738caaeca000      4K rw---   [ anon ]
0000738caaecb000      4K -----   [ anon ]
0000738caaecc000      4K rw---   [ anon ]
0000738caaecd000      4K -----   [ anon ]
0000738caaece000      4K rw---   [ anon ]
0000738caaecf000      4K -----   [ anon ]
0000738caaed0000      4K rw---   [ anon ]
0000738caaed1000      4K -----   [ anon ]
0000738caaed2000      4K rw---   [ anon ]
0000738caaed3000      4K -----   [ anon ]
0000738caaed4000      4K rw---   [ anon ]
0000738caaed5000      4K -----   [ anon ]
0000738caaed6000      4K rw---   [ anon ]
0000738caaed7000      4K -----   [ anon ]
0000738caaed8000      4K rw---   [ anon ]
0000738caaed9000      4K -----   [ anon ]
0000738caaeda000      4K rw---   [ anon ]
0000738caaedb000      4K -----   [ anon ]
0000738caaedc000      4K rw---   [ anon ]
0000738caaedd000      4K -----   [ anon ]
0000738caaede000      4K rw---   [ anon ]
0000738caaedf000      4K -----   [ anon ]
